title,genra_ID,poem
Our Town,113,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
Cartoon All-Stars to the Rescue,114,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna
Stuck ,115,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
Fame,116,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
Woman of the Year,117,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
Samurai Fiction (SF: Episode One),118,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
Peaceful Warrior,119,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
Marley & Me: The Puppy Years,120,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
Rude Boy,121,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Angels of the Universe (Englar alheimsins),122,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
And Everything Is Going Fine,123,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
Tough Guys,124,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
What Will You Do When You Catch Me? (Co mi zrobisz jak mnie zlapiesz?),125,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
This Happy Breed,126,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
Jungle Book,127,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
Baby Boy,128,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
"Mystery of the Yellow Room, The (Mystère de la chambre jaune, Le)",129,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Ravenous,130,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
"Affair of the Heart, An",131,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
"Hanging Garden, The",132,potenti in eleifend quam a odio in hac habitasse platea dictumst
"King of Kings, The",133,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
Taboo (Gohatto),134,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
Jane Eyre,135,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
Blackthorn,136,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
Day Is Done,137,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
"Experience, The (Tadjrebeh)",138,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
"Execution of P, The (Kinatay)",139,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
Blade of the Ripper,140,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
Cabin Fever,141,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Cinderella,142,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
"War of the Roses, The",143,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
Lentsu,144,amet cursus id turpis integer aliquet massa id lobortis convallis
Tai Chi Zero,145,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in
"State of Things, The (Stand der Dinge, Der)",146,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus
"Juche Idea, The",147,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
Out of Mind: The Stories of H.P. Lovecraft,148,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
Diabolique (Les diaboliques),149,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
Strawberry and Chocolate (Fresa y chocolate),150,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
Seven Samurai (Shichinin no samurai),151,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
"Anna Nicole (Anna Nicole Smith Story, The)",152,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
Sunrise: A Song of Two Humans,153,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
"Age of Innocence, The",154,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus
"Gorgeous Hussy, The",155,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero
8:28 am (8 Uhr 28),156,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
Butch and Sundance: The Early Days,157,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo
"Purple Rose of Cairo, The",158,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
No Time For Sergeants,159,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Pooh's Grand Adventure: The Search for Christopher Robin,160,aenean auctor gravida sem praesent id massa id nisl venenatis
Shining Night: A Portrait of Composer Morten Lauridsen,161,turpis a pede posuere nonummy integer non velit donec diam
Cosi,162,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien
Dragons Forever,163,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
"Big Circus, The",164,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
Cool as Ice,165,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
Oldboy,166,sed accumsan felis ut at dolor quis odio consequat varius integer
Shanghai Knights,167,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
Ed,168,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
Allegro,169,lobortis sapien sapien non mi integer ac neque duis bibendum
Fall,170,quam a odio in hac habitasse platea dictumst maecenas ut
JFK,171,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
Against All Odds,172,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
Bastard Out of Carolina,173,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
Come Drink with Me (Da zui xia),174,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
Dead or Alive: Hanzaisha,175,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
Criminals,176,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
"Man Next Door, The (El hombre de al lado)",177,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
No Mercy,178,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
Cairo Time,179,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
Key of Life (Kagi-dorobô no mesoddo),180,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
Storefront Hitchcock,181,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
Dead End Drive-In,182,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Beware of a Holy Whore (Warnung vor einer heiligen Nutte),183,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
Two Lovers,184,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
"Unholy Wife, The",185,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
Ricky Gervais Live 4: Science,186,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
Rulers of the City,187,aliquam erat volutpat in congue etiam justo etiam pretium iaculis
Vivacious Lady,188,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum
"Island of Dr. Moreau, The",189,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
Kummeli Stories,190,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
Life Without Dick,191,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
In Too Deep,192,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
"Sommer der Gaukler, Der",193,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
"Resurrection, A",194,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
"Asphalt Jungle, The",195,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
20th Century Boys - Chapter 1: Beginning of the End,196,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
Barren Lives (Vidas Secas),197,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
Vacuuming Completely Nude in Paradise,198,augue a suscipit nulla elit ac nulla sed vel enim
31 North 62 East,199,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
"Cobweb, The",200,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
"Ennui, L'",201,nulla neque libero convallis eget eleifend luctus ultricies eu nibh
Nuremberg,202,praesent blandit lacinia erat vestibulum sed magna at nunc commodo
Walk on Water,203,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
Permanent Record,204,praesent lectus vestibulum quam sapien varius ut blandit non interdum in
Knightriders,205,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
Defense of the Realm,206,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
"Secret, The",207,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis
Donos de Portugal,208,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Blood Money,209,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
"Happy Event, A (Un Heureux Evénement)",210,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
Old Joy,211,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
Amish Grace,212,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
Gravity (Schwerkraft),213,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
Ossos,214,neque sapien placerat ante nulla justo aliquam quis turpis eget elit
"River Murders, The",215,id massa id nisl venenatis lacinia aenean sit amet justo morbi
All the Vermeers in New York,216,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
Basic,217,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut
Gentlemen,218,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
"End, The",219,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
Hans (Kukkulan kuningas) ,220,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
Loop the Loop (Up and Down) (Horem pádem),221,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
Lost and Delirious,222,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
"Story of Dr. Wassell, The",223,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem
Pretty Persuasion,224,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in
"Gunfighter, The",225,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
Ulysses,226,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
Look Who's Talking Too,227,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
For the Love of Benji,228,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
Barking Dogs Never Bite (Flandersui gae),229,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
Let's Make Money,230,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
"Car 54, Where Are You?",231,libero ut massa volutpat convallis morbi odio odio elementum eu interdum
Christmas Comes but Once a Year,232,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet
Girl,233,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis
Jamesy Boy,234,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa
Whitewash,235,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse
Malone,236,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede
Zouzou,237,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
Bitch Slap,238,quis turpis sed ante vivamus tortor duis mattis egestas metus
Convoy,239,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
Lethal Weapon 2,240,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
My Life in Pink (Ma vie en rose),241,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
Traveller,242,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
Foreign Land (Terra Estrangeira),243,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
"Boys from Brazil, The",244,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
Mary and Max,245,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis
Universal Soldier,246,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
Broken Trail,247,donec dapibus duis at velit eu est congue elementum in hac
Transmorphers,248,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
"Names of Love, The (Le nom des gens)",249,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante
"Killing Fields, The",250,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
Invasion of Astro-Monster (Godzilla vs. Monster Zero) (Kaijû daisensô),251,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut
Ethel,252,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
Star Wreck: In the Pirkinning,253,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
Drive Angry,254,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci
