name,category ,desc
transitional,Organic,"Intentional self-harm by oth larger firearm discharge, subs"
mobile,Open-architected,Laceration w/o fb of r little finger w damage to nail
Upgradable,encoding,"Osteopathy in diseases classified elsewhere, right hand"
eco-centric,full-range,"Disorder of prostate, unspecified"
Universal,knowledge base,Acute (reversible) ischemia of small intestine
contingency,Re-contextualized,"Tear of articular cartilage of unspecified knee, current"
intangible,Multi-channelled,"Disp fx of medial phalanx of right little finger, init"
function,Up-sized,Malignant neoplasm of overlapping sites of breast
solution,Automated,Minor laceration of left innominate or subclavian artery
solution,Universal,"Posterior disp fx of sternal end of unsp clavicle, init"
Up-sized,service-desk,Polyhydramnios
bottom-line,algorithm,Fracture of unspecified phalanx of left little finger
multimedia,algorithm,"Mtrcy passenger injured in collision w hv veh nontraf, subs"
Ameliorated,database,Reverse articulation
initiative,Stand-alone,"Pnctr w/o foreign body of unsp cheek and TMJ area, subs"
Switchable,workforce,"Mtrcy pasngr injured in clsn w 2/3-whl mv nontraf, sequela"
executive,Open-architected,"Central dislocation of unspecified hip, sequela"
forecast,productivity,"Cntct w oth power power hand tools and household mach, init"
neural-net,systemic,Other abnormalities of gait and mobility
zero tolerance,executive,"Congenital malformation of great arteries, unspecified"
web-enabled,Reverse-engineered,"Nondisp pilon fx r tibia, 7thJ"
asynchronous,Programmable,"Path fx in neopltc dis, unsp site, subs for fx w routn heal"
needs-based,encompassing,Unspecified superficial injury of unspecified finger
complexity,impactful,"Disp fx of coronoid pro of unsp ulna, 7thD"
24/7,executive,Corrosion of unspecified degree of left lower leg
value-added,foreground,Disorders of vagus nerve
Front-line,Assimilated,Acute mastoiditis with other complications
static,De-engineered,Other localized visual field defect
matrices,well-modulated,Other specified injury of blood vessel of left thumb
dedicated,needs-based,Vomiting
initiative,installation,"Mtrcy driver injured in clsn w statnry object nontraf, init"
alliance,secondary,"Unspecified fracture of unspecified pubis, sequela"
implementation,encompassing,Primary blast injury of lung
Synchronised,initiative,"Driver of military vehicle injured in traf, sequela"
framework,content-based,"Other specified bursopathies, other site"
Synergized,asynchronous,Hypothyroidism due to meds and oth exogenous substances
Phased,software,"Disp fx of l ulna styloid pro, 7thE"
Cloned,Realigned,"Disloc of distal interphaln joint of r mid finger, sequela"
Distributed,Distributed,"Synovial cyst of popliteal space [Baker], right knee"
customer loyalty,object-oriented,Other problems related to social environment
local,Intuitive,Craniosynostosis
adapter,migration,"Poisn by unsp primarily systemic and hematolog agent, acc"
regional,contextually-based,"Corrosion of third degree back of unspecified hand, sequela"
access,Assimilated,"External constriction of left elbow, sequela"
policy,encryption,"Poisoning by antiviral drugs, accidental, init"
migration,background,Asplenia (congenital)
local area network,firmware,"Oth physl fx low end ulna, r arm, subs for fx w routn heal"
Right-sized,next generation,Cutaneous leishmaniasis
Public-key,reciprocal,Other acquired pure red cell aplasias
Persevering,info-mediaries,"Cutaneous abscess of trunk, unspecified"
dynamic,interactive,Histiocytic and mast cell tumors of uncertain behavior
encompassing,systemic,"Legal intervnt involving bayonet, suspect injured, sequela"
Total,mission-critical,"Bennett's fracture, right hand, subs for fx w malunion"
next generation,Total,"Follicular lymphoma grade IIIa, spleen"
national,Digitized,"Disp fx of lateral condyle of left tibia, init for clos fx"
Proactive,Front-line,Corrosions of oth parts of unspecified eye and adnexa
infrastructure,Re-engineered,"Poisoning by vitamins, accidental (unintentional), init"
Virtual,array,"Oth fx low end r femr, subs for opn fx type I/2 w routn heal"
firmware,fault-tolerant,"Occupant of rail trn/veh injured in unsp railway acc, subs"
Synergized,Advanced,Other late congenital neurosyphilis
Persistent,frame,"Age-rel osteopor w crnt path fx, r humer, 7thG"
toolset,De-engineered,"Corros first deg mult left fingers (nail), not inc thumb"
standardization,access,Measles complicated by meningitis
incremental,5th generation,Nondisplaced segmental fracture of shaft of right tibia
projection,responsive,"Disloc of l acromioclav jt, 100%-200% displacmnt, sequela"
maximized,Switchable,"Blister of right eyelid and periocular area, init"
internet solution,open architecture,"Traumatic arthropathy, multiple sites"
background,directional,"Superficial foreign body, right knee"
Integrated,Inverse,"Labor and del comp by oth cord entangle, w/o comprsn, fts1"
global,encompassing,Presence of other functional implants
hardware,internet solution,Unsp injury of unspecified blood vessel at forearm level
Distributed,Inverse,"Toxic effect of venom of other venomous lizard, undetermined"
implementation,hardware,"Breakdown of int fix of bones of hand and fingers, sequela"
Business-focused,portal,"Anterior dislocation of right humerus, subsequent encounter"
actuating,core,"Kaschin-Beck disease, shoulder"
Inverse,fault-tolerant,Animl-ridr or occ of anml-drn veh inj in clsn w 2/3-whl mv
Pre-emptive,toolset,Malignant neoplasm of overlapping sites of tongue
monitoring,fresh-thinking,"Disp fx of intermed cuneiform of unsp ft, 7thK"
matrices,reciprocal,"Laceration of adductor musc/fasc/tend left thigh, init"
protocol,Persevering,"Prph tear of medial mensc, current injury, unsp knee, subs"
paradigm,heuristic,Corrosion of unsp deg mult sites of left wrist and hand
client-driven,methodology,"Disp fx of mid 3rd of navic bone of l wrs, 7thK"
emulation,methodical,"Obstructed labor due to malpos and malpresent, unsp, unsp"
throughput,tangible,Family history of malignant neoplasm of genital organs
data-warehouse,knowledge base,"Partial traum amp at level betw l shoulder and elbow, init"
Automated,User-friendly,"Puncture wound with foreign body of vocal cord, subs encntr"
Profit-focused,migration,"Burn of first degree of unspecified elbow, initial encounter"
foreground,forecast,"Adhesive middle ear disease, bilateral"
Persistent,knowledge user,"Oth specific arthropathies, not elsewhere classified, elbow"
upward-trending,Vision-oriented,Adult pulmonary Langerhans cell histiocytosis
orchestration,Focused,"Smith's fracture of unsp radius, subs for clos fx w nonunion"
parallelism,info-mediaries,"Unsp inj unsp musc/fasc/tend at forarm lv, left arm, init"
Universal,Ameliorated,"Other specified injury of brachial artery, left side"
reciprocal,multi-tasking,"Toxic effect of unsp organic solvent, self-harm, subs"
solution,coherent,"Twin preg, unable to dtrm num plcnta & amnio sacs, 2nd tri"
well-modulated,Re-contextualized,Inj intrinsic musc/fasc/tend finger at wrist and hand level
Fundamental,definition,"Unsp fracture of sternum, subs for fx w delay heal"
executive,Profound,"Unsp injury of musc/fasc/tend triceps, unsp arm"
framework,Synergistic,Accidental handgun malfunction
methodology,Implemented,Narcissistic personality disorder
fault-tolerant,systematic,"Maternal care for fetal problem, unsp, third trimester, unsp"
Cross-platform,actuating,"Inj muscle, fascia and tendon of right hip, init encntr"
3rd generation,emulation,"Oth fx shaft of unsp femr, 7thQ"
approach,reciprocal,"Prsn outsd 3-whl mv inj in clsn w statnry obj in traf, init"
multimedia,context-sensitive,"Lacerat unsp musc/tend at lower leg level, unsp leg, subs"
demand-driven,Automated,"Disp fx of third metatarsal bone, right foot, init"
Upgradable,6th generation,"Superficial foreign body of lip, sequela"
Operative,optimizing,"Arcus senilis, unspecified eye"
systemic,system engine,Unspecified open wound of left buttock
info-mediaries,Re-engineered,"Burn of third degree of unspecified ear, sequela"
moderator,dynamic,"Infective myositis, right thigh"
complexity,global,"Blister (nonthermal) of left middle finger, subs encntr"
Face to face,executive,"Partial traumatic amputation of right midfoot, init encntr"
Robust,context-sensitive,"Unsp injury of musc/fasc/tend at wrs/hnd lv, left hand, init"
Progressive,hub,"Stress fracture, right ankle"
synergy,focus group,Subluxation of tarsal joint of left foot
Organized,even-keeled,"Preterm premature ROM, onset labor > 24 hours fol rupture"
attitude-oriented,attitude-oriented,"Oth transitory neonatal disorders of thyroid function, NEC"
interactive,De-engineered,"Drown due to oth accident to water-skis, subs"
productivity,national,"Superficial foreign body of left hand, subsequent encounter"
Advanced,focus group,"Varus deformity, not elsewhere classified, right ankle"
Networked,Profit-focused,"Nondisp midcervical fx l femr, 7thM"
artificial intelligence,project,"Glaucoma secondary to drugs, bilateral, mild stage"
moratorium,Distributed,Transient acquired pure red cell aplasia
eco-centric,Configurable,"Car driver injured pick-up truck, pk-up/van in traf"
Managed,circuit,"Injury of left uterine vein, initial encounter"
dynamic,web-enabled,"Secondary corneal edema, left eye"
regional,asymmetric,"Open bite of right little finger w/o damage to nail, sequela"
composite,Optional,"Disp fx of lateral condyle of right humerus, sequela"
Automated,Upgradable,"Stress fracture, left toe(s), subs for fx w delay heal"
contingency,scalable,Nondisp fx of lateral condyle of unspecified femur
Multi-layered,modular,"Foreign body on external eye, part unsp, left eye, subs"
zero tolerance,superstructure,Malignant neoplasm of other and unsp male genital organs
approach,archive,"Nondisp fx of dist phalanx of r rng fngr, 7thD"
Cloned,Cross-platform,"Maternal care for disproprtn due to other fetal deform, unsp"
Fundamental,policy,Sprain of unspecified sternoclavicular joint
Customer-focused,ability,"Poisoning by phenothiazine antipsychot/neurolept, self-harm"
5th generation,24/7,"External constriction of nose, initial encounter"
open system,product,"Jump/div from boat striking bottom causing drown, init"
forecast,intranet,Nonrheumatic tricuspid (valve) stenosis with insufficiency
Total,concept,"Underdosing of oth antipsychotics and neuroleptics, init"
ability,archive,"Person outside car injured in clsn w car nontraf, sequela"
Organic,hierarchy,"Other family member, perpetrator of maltreatment and neglect"
Polarised,Persistent,"Oth fx upper end unsp radius, subs for clos fx w routn heal"
Front-line,infrastructure,"Unspecified enthesopathy, lower limb, excluding foot"
Multi-layered,Versatile,"Primary iridocyclitis, unspecified eye"
Multi-layered,internet solution,"Nondisplaced intraarticular fracture of r calcaneus, sequela"
Enhanced,client-server,"Unsp pedl cyclst injured in clsn w unsp mv nontraf, sequela"
Triple-buffered,non-volatile,Superficial frostbite of right ankle
human-resource,Optional,"Crushing injury of right middle finger, initial encounter"
Compatible,bifurcated,"Unsp injury of right quadriceps muscle, fascia and tendon"
middleware,Universal,"Sltr-haris Type I physl fx low end r tibia, 7thP"
Synchronised,archive,"Unsp soft tissue disord related to use/pressure, left thigh"
Open-architected,neural-net,"Fx unsp part of neck of r femur, init for opn fx type I/2"
knowledge base,Proactive,Anomalies of tooth position of fully erupted tooth or teeth
Team-oriented,time-frame,"Oth fx upper end of left ulna, init for opn fx type I/2"
maximized,methodology,"Unsp comp of anesthesia during pregnancy, unsp trimester"
internet solution,Enhanced,"Oth incomplete lesion at C8, sequela"
Secured,Devolved,"Unspecified open wound of unspecified upper arm, init encntr"
Adaptive,Fundamental,"Nondisp fx of med phalanx of l mid fngr, 7thP"
artificial intelligence,standardization,Driver of bus injured in collision w unsp mv in traf
upward-trending,explicit,Unspecified superficial injury of left thumb
service-desk,hybrid,"Displaced intertroch fx l femur, init for opn fx type 3A/B/C"
zero defect,Reverse-engineered,Somatoform disorders
heuristic,Stand-alone,Crushing injury of unspecified toe(s)
matrices,Down-sized,"Occup of oth sp off-rd mv injured in traffic accident, init"
matrix,implementation,"Inj unsp blood vess at hip and thigh level, right leg, init"
Stand-alone,Realigned,Nondisplaced comminuted fracture of shaft of unsp tibia
capacity,Triple-buffered,Laceration w foreign body of unsp thumb w/o damage to nail
emulation,secondary,Athscl nonbiological bypass of the right leg w ulceration
optimizing,budgetary management,"Unsp pedl cyclst injured in collision w hv veh in traf, subs"
tertiary,Switchable,"Open bite of r frnt wl of thorax w penet thor cavity, init"
empowering,intranet,"Oth fx upr end unsp rad, subs for opn fx type I/2 w malunion"
Customer-focused,didactic,Open bite of unspecified great toe without damage to nail
transitional,multi-state,"Unspecified injury of right hip, subsequent encounter"
homogeneous,Upgradable,Rheumatoid lung disease w rheumatoid arthritis of unsp knee
complexity,Grass-roots,"Oth injury of left external jugular vein, init encntr"
heuristic,Networked,"Unsp fx upper end unsp radius, subs for clos fx w malunion"
framework,local area network,"Osteopathy in diseases classified elsewhere, left lower leg"
Decentralized,software,Partial traumatic amputation of right hand at wrist level
mobile,methodology,"I/I react d/t implanted penile prosthesis, initial encounter"
neutral,Team-oriented,"Blister (nonthermal), right lesser toe(s), subs encntr"
holistic,analyzing,"Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, sqla"
Multi-lateral,logistical,"Unspecified superficial injury of right foot, subs encntr"
Polarised,Stand-alone,"Oth osteopor w crnt path fx, l low leg, 7thD"
executive,groupware,"Dislocation of unspecified scapula, subsequent encounter"
Graphic Interface,directional,Gastric contents in esophagus causing compression of trachea
responsive,synergy,Underdosing of mixed antiepileptics
model,analyzing,"Myelitis, unspecified"
modular,Organized,"Nondisp fx of r tibial spine, subs for clos fx w malunion"
moderator,non-volatile,Burn due to watercraft on fire
Organized,Mandatory,"Maternal care for hydrops fetalis, unsp trimester, fetus 1"
grid-enabled,global,"Open bite of low back and pelvis w penet retroperiton, init"
instruction set,scalable,Encounter for adjustment and management of implanted device
circuit,Compatible,"Poisoning by smallpox vaccines, assault"
Up-sized,Graphic Interface,Abrasion of left elbow
multi-tasking,exuding,"Poisoning by oth antidysrhythmic drugs, self-harm, subs"
Vision-oriented,Polarised,Ovarian dysfunction
Mandatory,artificial intelligence,"Toxic effect of glycols, undetermined, initial encounter"
Centralized,Grass-roots,Epigastric abdominal tenderness
access,info-mediaries,Sprain of calcaneofibular ligament of left ankle
Networked,Reactive,"Pathological fracture, pelvis, init encntr for fracture"
secured line,Open-source,Alternating esotropia with other noncomitancies
circuit,infrastructure,"Occ of rail trn/veh injured due to oth railway acc, sequela"
Down-sized,contextually-based,Speech/lang deficits following oth cerebrovascular disease
open architecture,Down-sized,"Decreased fetal movements, third trimester, fetus 3"
concept,web-enabled,Other specified complications of labor and delivery
multi-tasking,even-keeled,"Underdosing of antimycobacterial drugs, initial encounter"
bandwidth-monitored,analyzing,"Open bite of left index finger w/o damage to nail, sequela"
asymmetric,process improvement,"Corrosion of first degree of right upper arm, subs encntr"
Devolved,utilisation,Spontaneous rupture of other tendons
Expanded,incremental,"Suprvsn of preg w poor reprodctv or obstet hx, third tri"
Open-source,task-force,"Disp fx of trapezium, unsp wrist, init for opn fx"
client-server,task-force,"Other superficial bite of abdominal wall, subs encntr"
Vision-oriented,4th generation,Ainhum
logistical,bottom-line,"Unsp injury of musc/fasc/tend unsp hip, sequela"
Grass-roots,hub,"Poisoning by unsp antidepressants, assault, init encntr"
Synergistic,Organic,"External constriction of part of breast, unsp breast, subs"
maximized,Phased,"Unspecified injury of right middle and inner ear, sequela"
methodology,concept,"Displ artic fx head of unsp femr, 7thG"
Innovative,maximized,"Spontaneous rupture of other tendons, right lower leg"
Open-source,web-enabled,"Ped on foot injured in collision w 2/3-whl mv, unsp, subs"
optimal,Fully-configurable,"Partial traumatic amp of unsp hand at wrist level, init"
Versatile,Multi-tiered,"Unsp fx upper end unsp radius, init for opn fx type 3A/B/C"
explicit,radical,Encntr for proc for purposes oth than remedying health state
internet solution,tangible,"Burn of first degree of right lower leg, sequela"
encompassing,national,"Nondisp fx of post wall of l acetab, subs for fx w nonunion"
Organic,Enhanced,"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"
foreground,bi-directional,Plasmodium malariae malaria
Versatile,Persistent,"Unsp mtrcy rider injured in clsn w ped/anml nontraf, sequela"
24/7,Advanced,"Nondisp avuls fx (chip fracture) of l talus, init for opn fx"
superstructure,Cloned,Nondisplaced transverse fracture of shaft of left radius
mobile,Versatile,"Unspecified sprain of left ring finger, subsequent encounter"
Switchable,circuit,"Driver of pk-up/van inj in clsn w nonmtr veh nontraf, sqla"
analyzing,methodology,"Nondisp suprcndl fx w intrcndl extn low end r femr, 7thN"
Public-key,throughput,"Other water transport accident, sequela"
superstructure,fault-tolerant,"Unsp intracap fx left femur, init for opn fx type I/2"
24/7,systemic,"Laceration of axillary artery, unspecified side, sequela"
global,benchmark,"Toxic effect of contact w oth venomous animals, undetermined"
composite,Phased,Diuretics and oth and unsp drug/meds/biol subst
knowledge user,collaboration,"Primary open-angle glaucoma, left eye, indeterminate stage"
Expanded,algorithm,"Driver of hv veh inj pk-up truck, pk-up/van nontraf, sequela"
system engine,process improvement,"Other superficial bite of right thigh, sequela"
mobile,asymmetric,Fourth degree perineal laceration during delivery
knowledge base,bifurcated,Carcinoma in situ of right bronchus and lung
bandwidth-monitored,Stand-alone,"Poisoning by unsp antipsychot/neurolept, accidental"
customer loyalty,exuding,"Unsp fx upr end l rad, 7thR"
Graphical User Interface,actuating,"Burn of first degree of right wrist, initial encounter"
tertiary,Universal,"Nondisp oblique fx shaft of unsp fibula, 7thH"
Focused,actuating,"Poisoning by diagnostic agents, undetermined"
concept,Sharable,Bitten by parrot
foreground,hub,"Subluxation of left scapula, subsequent encounter"
contextually-based,architecture,"Unspecified noninfective disorders of pinna, left ear"
Multi-channelled,system-worthy,"Other hypertrophic osteoarthropathy, left ankle and foot"
interactive,maximized,Maxillary hyperplasia
Monitored,Self-enabling,"Mech compl of intraocular lens, initial encounter"
hierarchy,intermediate,"Open bite of r frnt wl of thorax w penet thor cavity, subs"
toolset,Distributed,"Disp fx of lateral malleolus of unsp fibula, 7thE"
Phased,exuding,"Female pelvic peritonitis, unspecified"
Re-contextualized,Polarised,Unspecified abnormal findings in urine
methodology,Automated,"Unsp injury of vein at forearm level, right arm, sequela"
actuating,impactful,Other superficial bite of elbow
encoding,process improvement,"Oth osteoporosis w current pathological fracture, r low leg"
Persevering,contingency,"Visual discomfort, bilateral"
Organic,framework,"Corrosion of third degree of unspecified palm, sequela"
Persevering,zero tolerance,"Nondisplaced pilon fracture of left tibia, init for clos fx"
De-engineered,upward-trending,"Burn of unspecified degree of right ankle, initial encounter"
interactive,structure,"Open bite of right little finger w damage to nail, subs"
mission-critical,global,Other physeal fracture of right metatarsal
Customizable,systemic,"Infective myositis, unspecified ankle"
interface,reciprocal,"Toxic effect of hydrogen sulfide, self-harm, init"
Organic,parallelism,Hallervorden-Spatz disease
Synergized,zero defect,"Echinococcus granulosus infection, thyroid gland"
user-facing,encoding,"Other specified crystal arthropathies, right hip"
moderator,encompassing,"Adverse effect of nonsteroidal anti-inflammatory drugs, subs"
De-engineered,Distributed,Heat exposure on board fishing boat
approach,local,"Acute pancreatitis, unspecified"
asymmetric,didactic,"Nondisplaced oth extrartic fracture of left calcaneus, init"
Monitored,optimizing,Lateral subluxation of unspecified ulnohumeral joint
full-range,Ergonomic,Unspecified disorder of binocular movement
Switchable,Networked,"Congenital malformation of kidney, unspecified"
Expanded,5th generation,"Path fx in oth disease, l femur, subs for fx w nonunion"
exuding,Reduced,"Injury of femoral nrv at hip and thigh level, left leg, init"
next generation,Open-source,Nodular prostate without lower urinary tract symptoms
actuating,structure,"Poisn by cephalospor/oth beta-lactm antibiot, assault, subs"
Total,architecture,Adverse effect of vitamins
open architecture,task-force,"Inj muscle, fascia and tendon of oth prt biceps, left arm"
even-keeled,eco-centric,"Age-rel osteopor w crnt path fx, r humer, 7thK"
incremental,groupware,"External constriction of unsp parts of thorax, sequela"
Cross-group,encoding,"Fx unsp phalanx of r little finger, subs for fx w malunion"
policy,paradigm,"Kearns-Sayre syndrome, left eye"
Vision-oriented,Advanced,Porphyria cutanea tarda
Reactive,Ergonomic,Benign intracranial hypertension
budgetary management,Business-focused,"Occ of stcar injured in derail w/o antecedent clsn, init"
Decentralized,forecast,"Nondisp commnt fx unsp patella, subs for clos fx w nonunion"
even-keeled,Sharable,"Matern care for known or susp placntl insuff, 1st tri, fts1"
secondary,Compatible,"Laceration without foreign body of left forearm, subs encntr"
website,Versatile,Salter-Harris Type II physeal fracture of lower end of femur
database,Persistent,"Disp fx of coracoid process, unsp shoulder, init for opn fx"
Open-architected,encoding,"Displ seg fx shaft of unsp tibia, 7thM"
hub,Devolved,"Displ suprcndl fx w/o intrcndl extn low end r femr, 7thH"
focus group,fault-tolerant,"Cystic meniscus, anterior horn of lat mensc, right knee"
Face to face,functionalities,"Pathological fracture in other disease, right femur, sequela"
eco-centric,De-engineered,"Unsp dislocation of unsp ulnohumeral joint, subs encntr"
flexibility,Profound,"Other physeal fracture of right metatarsal, 7thD"
model,Customizable,"Leakage of cardiac and vascular devices and implnt, sequela"
Grass-roots,next generation,Fracture of greater trochanter of femur
zero administration,Programmable,Diphyllobothriasis
Monitored,Implemented,"Struck by other fish, subsequent encounter"
web-enabled,open architecture,Crushing injury of thigh
local,infrastructure,Leakage of unspecified vascular graft
holistic,adapter,"Adhes due to fb acc left in body fol inject or immuniz, init"
pricing structure,client-server,Cervical disc disorder with myelopathy
array,Universal,Otorrhea
process improvement,Enhanced,"Stable burst fx fourth thor vert, subs for fx w delay heal"
strategy,motivating,Lac w/o fb of back wall of thorax w/o penet thoracic cavity
Cloned,high-level,"Dissem chorioretin inflammation of posterior pole, bilateral"
empowering,Organized,"Disp fx of post wall of r acetab, subs for fx w routn heal"
local,system engine,Other congenital deformities of hip
Ameliorated,demand-driven,Newborn esophageal reflux
artificial intelligence,Self-enabling,"Puncture wound with foreign body of unsp shoulder, sequela"
even-keeled,foreground,"Unsp inj unsp blood vess at wrs/hnd lv of left arm, sequela"
Assimilated,migration,"Unspecified superficial injury of right thumb, init encntr"
Decentralized,logistical,"Primary blast injury of unsp part of sm int, sequela"
Optional,Switchable,"Drown due to fall/jump fr crushed water-skis, subs"
Ameliorated,actuating,"Thrombosis due to cardiac prosth dev/grft, subs"
secondary,analyzer,"Driver of bus injured in clsn w rail trn/veh nontraf, init"
optimizing,Public-key,"Oth specific arthropathies, NEC, right hand"
application,directional,Oth psychoactv sub depend w w/drawal w perceptl disturb
Inverse,Phased,"Displ bimalleol fx unsp low leg, 7thG"
Enterprise-wide,incremental,Personal history of diabetic foot ulcer
paradigm,directional,"Sltr-haris Type IV physl fx upr end l tibia, 7thG"
Stand-alone,24 hour,"Oth psychoactive substance abuse w intoxication, uncomp"
Multi-lateral,Reduced,"Expsr to oth furniture fire due to burning cigarette, init"
support,Reactive,"Burn unsp deg mult sites of left lower limb, ex ank/ft, subs"
24 hour,systematic,"Maternal care for oth fetal problems, unsp tri, fetus 4"
Synergistic,Triple-buffered,Other subluxation of left foot
Adaptive,multimedia,"Nondisp avulsion fracture of left ilium, init for opn fx"
neutral,Robust,Contact with other nonvenomous reptiles
Synergized,Secured,Primary occlusal trauma
transitional,paradigm,"Wedge compression fracture of T11-T12 vertebra, sequela"
policy,Switchable,"Other sprain of left shoulder joint, initial encounter"
Mandatory,Intuitive,"Displacement of implnt elec nstim, generator"
model,secondary,"Disloc of metacarpal (bone), proximal end of left hand, subs"
service-desk,Quality-focused,"Sltr-haris Type III physl fx lower end ulna, unsp arm, init"
customer loyalty,system-worthy,"Disp fx of posterior wall of left acetabulum, init"
Pre-emptive,coherent,"Unspecified injury of left lower leg, initial encounter"
zero administration,Devolved,"Nondisp commnt fx unsp patella, 7thD"
well-modulated,budgetary management,Abuse of laxatives
Devolved,Grass-roots,"Unspecified epiphora, bilateral lacrimal glands"
global,emulation,"Subluxation of midcarpal joint of right wrist, subs encntr"
Synchronised,Vision-oriented,"Pre-exist hyp heart and chr kidney dis comp preg, first tri"
Multi-channelled,maximized,Occlusion and stenosis of middle cerebral artery
Assimilated,optimal,"Panuveitis, unspecified eye"
methodology,Vision-oriented,"Adverse effect of vaccines and biolg substances, sequela"
challenge,moratorium,Underdosing of unsp hormones and synthetic substitutes
static,Team-oriented,"Unspecified acute noninfective otitis externa, left ear"
Multi-channelled,approach,"Sltr-haris Type IV physeal fx unspecified calcaneus, init"
Balanced,standardization,Myogenic ptosis of left eyelid
moratorium,emulation,"Glaucoma secondary to oth eye disord, unsp eye, stage unsp"
object-oriented,process improvement,"Prolonged stay in weightless environment, sequela"
task-force,artificial intelligence,"Osteophyte, unspecified shoulder"
Synchronised,attitude-oriented,"Quad preg, unsp num plcnta & amnio sacs, third trimester"
Vision-oriented,User-friendly,Drug/chem diabetes mellitus w oth complications
Focused,mobile,Other complications of anesthesia
customer loyalty,toolset,"Nondisp fx of medial condyle of unsp humer, init for opn fx"
