id,tagName
697,focus group
698,contextually-based
699,Triple-buffered
700,Managed
701,hub
702,optimal
703,database
704,web-enabled
705,hardware
706,non-volatile
707,eco-centric
708,background
709,contextually-based
710,context-sensitive
711,Pre-emptive
712,Customizable
713,bifurcated
714,software
715,groupware
716,Graphical User Interface
717,transitional
718,focus group
719,directional
720,executive
721,client-driven
722,bandwidth-monitored
723,conglomeration
724,Innovative
725,heuristic
726,algorithm
727,transitional
728,interactive
729,global
730,Synergistic
731,multi-state
732,Customizable
733,hub
734,Multi-channelled
735,Mandatory
736,disintermediate
737,Innovative
738,Switchable
739,interface
740,support
741,workforce
742,24 hour
743,methodical
744,Graphic Interface
745,Enterprise-wide
746,secondary
747,dynamic
748,Stand-alone
749,Right-sized
750,leading edge
751,customer loyalty
752,5th generation
753,analyzer
754,value-added
755,hardware
756,maximized
757,responsive
758,local area network
759,directional
760,Team-oriented
761,Extended
762,web-enabled
763,De-engineered
764,extranet
765,workforce
766,local area network
767,background
768,extranet
769,contingency
770,optimal
771,Face to face
772,Seamless
773,Organic
774,Synergized
775,synergy
776,disintermediate
777,Re-contextualized
778,contextually-based
779,content-based
780,archive
781,Upgradable
782,Configurable
783,24 hour
784,functionalities
785,Versatile
786,transitional
787,capacity
788,Distributed
789,bifurcated
790,Profound
791,adapter
792,Switchable
793,disintermediate
794,modular
795,hybrid
796,Customizable
797,functionalities
798,attitude-oriented
799,directional
800,exuding
801,national
802,artificial intelligence
803,Triple-buffered
804,Automated
805,impactful
806,methodology
807,solution
808,Advanced
809,intangible
810,Vision-oriented
811,Digitized
812,approach
813,Function-based
814,methodical
815,database
816,emulation
817,Stand-alone
818,Inverse
819,Right-sized
820,fresh-thinking
821,Upgradable
822,encompassing
823,algorithm
824,capability
825,function
826,circuit
827,service-desk
828,real-time
829,parallelism
830,modular
831,intermediate
832,holistic
833,model
834,Realigned
835,Pre-emptive
836,explicit
837,regional
838,Proactive
839,Visionary
840,context-sensitive
841,maximized
842,Ergonomic
843,conglomeration
844,cohesive
845,Enterprise-wide
846,definition
847,Profound
848,Re-contextualized
849,Decentralized
850,disintermediate
851,4th generation
852,Integrated
853,coherent
854,Grass-roots
855,transitional
856,disintermediate
857,transitional
858,installation
859,Open-source
860,definition
861,transitional
862,info-mediaries
863,Re-engineered
864,capacity
865,Optimized
866,bifurcated
867,Operative
868,interface
869,5th generation
870,human-resource
871,responsive
872,coherent
873,Universal
874,Synergistic
875,installation
876,Reverse-engineered
877,installation
878,success
879,actuating
880,Streamlined
881,analyzer
882,workforce
883,Phased
884,logistical
885,content-based
886,Horizontal
887,Exclusive
888,Digitized
889,Operative
890,Stand-alone
891,Horizontal
892,Multi-lateral
893,zero defect
894,upward-trending
895,extranet
896,grid-enabled
897,application
898,Face to face
899,actuating
900,complexity
901,definition
902,Down-sized
903,projection
904,upward-trending
905,reciprocal
906,strategy
907,hierarchy
908,standardization
909,value-added
910,throughput
911,Extended
912,client-driven
913,Future-proofed
914,holistic
915,task-force
916,circuit
917,synergy
918,collaboration
919,upward-trending
920,neural-net
921,Ergonomic
922,interactive
923,encompassing
924,asymmetric
925,projection
926,hub
927,object-oriented
928,knowledge user
929,Intuitive
930,ability
931,Secured
932,Expanded
933,multimedia
934,full-range
935,intermediate
936,benchmark
937,pricing structure
938,moratorium
939,Horizontal
940,Progressive
941,stable
942,Expanded
943,Synchronised
944,Graphic Interface
945,national
946,challenge
947,cohesive
948,capacity
949,Sharable
950,Virtual
951,6th generation
952,multi-tasking
953,strategy
954,Ergonomic
955,Enterprise-wide
956,Up-sized
957,Robust
958,fault-tolerant
959,Operative
960,encryption
961,bi-directional
962,Ameliorated
963,Networked
964,function
965,Optional
966,web-enabled
967,moratorium
968,incremental
969,throughput
970,product
971,attitude
972,Team-oriented
973,executive
974,3rd generation
975,interactive
976,incremental
977,Secured
978,circuit
979,User-centric
980,mission-critical
981,Graphic Interface
982,focus group
983,stable
984,Devolved
985,Self-enabling
986,bottom-line
987,full-range
988,maximized
989,asynchronous
990,migration
991,interactive
992,middleware
993,dynamic
994,intranet
995,model
996,Inverse
997,Secured
998,standardization
999,Up-sized
1000,throughput
